=========================================================================
  TỔNG HỢP: LIMIT ENTRY TẠI BB ± X%
  Mô tả:
   - Entry SELL = BB_Upper_prev * (1 + X%)
   - Entry BUY  = BB_Lower_prev * (1 - X%)
   - Lệnh khớp ngay trong nến nếu giá chạm Limit.
=========================================================================

── M15 BUY ───────────────────────────────────────────────
Entry X%   | SL Method    | R:R    | Trades   | TP%      | EV (R)  
-----------------------------------------------------------------
0.3%       | ATR 0.5      | 1:2    | 700      | 35.3%    | 0.059    ⚠️
0.3%       | ATR 0.5      | 1:3    | 700      | 26.1%    | 0.046    ⚠️
0.2%       | ATR 0.5      | 1:2    | 1,092    | 34.6%    | 0.038    ⚠️
0.15%      | ATR 0.5      | 1:2    | 1,398    | 34.3%    | 0.030    ⚠️
0.2%       | ATR 0.5      | 1:3    | 1,092    | 25.5%    | 0.018    ⚠️
0.3%       | PCT 0.1      | 1:3    | 700      | 25.1%    | 0.006    ⚠️
0.1%       | ATR 0.5      | 1:2    | 1,893    | 33.2%    | -0.005   ❌
0.3%       | PCT 0.2      | 1:2    | 700      | 33.0%    | -0.009   ❌
0.3%       | ATR 1.0      | 1:2    | 700      | 33.0%    | -0.010   ❌
0.3%       | PCT 0.3      | 1:2    | 700      | 32.9%    | -0.013   ❌
0.0%       | PCT 0.3      | 1:3    | 3,788    | 24.2%    | -0.018   ❌
0.3%       | ATR 1.0      | 1:3    | 700      | 24.1%    | -0.034   ❌
0.2%       | PCT 0.1      | 1:3    | 1,092    | 24.1%    | -0.037   ❌
0.0%       | ATR 1.5      | 1:5    | 3,788    | 15.3%    | -0.037   ❌
0.15%      | ATR 0.5      | 1:3    | 1,398    | 24.0%    | -0.041   ❌


── M15 SELL ───────────────────────────────────────────────
Entry X%   | SL Method    | R:R    | Trades   | TP%      | EV (R)  
-----------------------------------------------------------------
0.2%       | ATR 0.5      | 1:2    | 845      | 40.5%    | 0.214    ⚠️
0.3%       | ATR 0.5      | 1:2    | 436      | 39.2%    | 0.177    ⚠️
0.3%       | ATR 0.5      | 1:3    | 436      | 29.4%    | 0.174    ⚠️
0.2%       | PCT 0.1      | 1:2    | 845      | 37.4%    | 0.122    ⚠️
