Time_H1,Hour,Session,Type,Close_Price,H1_RSI,H1_STOCH_K,H1_STOCH_D,M1_RSI_Min,M1_RSI_Max,H1_ATR,H1_ATR_High_Volatility,H1_Volume_Spike,Pattern,Divergence,H1_BB_Breakout_%
2024-04-23 12:00:00,12,London Session (08:00-15:00),Đáy,2295.57,28.26,21.66,24.51,,,9.92194,False,False,None,None,0.0
2024-04-23 17:00:00,17,NY Session (15:00-24:00),Đỉnh,2320.35,48.72,85.24,74.64,,,11.04421,False,False,None,None,0.0
2024-04-24 12:00:00,12,London Session (08:00-15:00),Đáy,2314.89,42.37,23.57,43.46,,,7.12639,False,False,None,None,0.157
2024-04-24 18:00:00,18,NY Session (15:00-24:00),Đỉnh,2322.52,50.12,61.11,57.12,,,8.19737,False,True,None,None,0.291
2024-04-25 06:00:00,6,Asian Session (00:00-08:00),Đáy,2313.12,41.5,37.09,30.11,,,6.99585,False,False,None,None,0.299
2024-04-25 17:00:00,17,NY Session (15:00-24:00),Đỉnh,2333.8,59.56,58.77,72.13,,,8.66594,False,True,None,None,0.505
2024-04-26 04:00:00,4,Asian Session (00:00-08:00),Đáy,2332.04,56.23,55.72,55.55,,,6.67895,False,False,Pin Bar,None,0.0
2024-04-26 12:00:00,12,London Session (08:00-15:00),Đỉnh,2349.23,73.48,88.75,89.45,,,6.22094,False,False,None,None,0.172
2024-04-29 04:00:00,4,Asian Session (00:00-08:00),Đáy,2330.94,42.68,36.29,33.75,,,6.73917,False,True,Pin Bar,None,0.387
2024-04-29 19:00:00,19,NY Session (15:00-24:00),Đỉnh,2342.73,58.05,70.64,58.24,,,7.1272,False,False,None,None,0.084
2024-04-30 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,2334.8,47.6,46.37,56.67,,,6.44509,False,False,Pin Bar,None,0.0
2024-04-30 23:00:00,23,NY Session (15:00-24:00),Đáy,2285.97,20.28,3.19,6.22,,,6.87229,False,False,None,None,0.0
2024-05-01 07:00:00,7,Asian Session (00:00-08:00),Đáy,2283.12,24.8,14.24,16.54,,,5.86583,False,False,Pin Bar,None,0.0
2024-05-01 21:00:00,21,NY Session (15:00-24:00),Đỉnh,2325.17,71.04,74.1,75.66,,,8.29394,False,True,Engulfing,None,0.566
2024-05-02 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,2323.98,63.81,87.18,83.42,,,8.05418,False,False,Pin Bar,None,0.0
2024-05-02 16:00:00,16,NY Session (15:00-24:00),Đáy,2291.28,33.75,12.02,12.01,,,7.47447,False,True,Pin Bar,None,0.179
2024-05-03 15:00:00,15,NY Session (15:00-24:00),Đỉnh,2304.64,52.37,22.37,23.14,,,6.71234,False,True,Pin Bar,Bearish Divergence,0.506
2024-05-03 16:00:00,16,NY Session (15:00-24:00),Đáy,2289.99,37.45,28.1,23.73,,,8.49431,False,True,None,Bullish Divergence,0.732
2024-05-06 03:00:00,3,Asian Session (00:00-08:00),Đáy,2295.84,45.06,54.7,59.45,,,7.90375,False,False,Pin Bar,None,0.0
2024-05-06 16:00:00,16,NY Session (15:00-24:00),Đỉnh,2327.77,68.14,70.99,70.69,,,7.82861,False,True,None,None,0.069
2024-05-07 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,2322.68,54.65,68.74,68.32,,,6.54444,False,False,None,None,0.0
2024-05-07 15:00:00,15,NY Session (15:00-24:00),Đáy,2315.95,46.71,24.35,19.81,,,5.59203,False,True,None,None,0.091
2024-05-08 08:00:00,8,London Session (08:00-15:00),Đỉnh,2317.6,52.45,87.96,82.65,,,4.93559,False,False,None,None,0.065
2024-05-08 11:00:00,11,London Session (08:00-15:00),Đáy,2307.21,39.84,25.26,48.1,,,5.30678,False,False,Pin Bar,Bullish Divergence,0.148
2024-05-09 12:00:00,12,London Session (08:00-15:00),Đáy,2307.52,42.4,15.19,31.09,,,4.64935,False,False,None,None,0.0
2024-05-09 23:00:00,23,NY Session (15:00-24:00),Đỉnh,2345.85,74.69,97.29,92.28,,,6.49092,False,False,None,None,0.021
2024-05-10 01:00:00,1,Asian Session (00:00-08:00),Đáy,2346.23,74.9,97.32,96.33,,,6.20799,False,False,Pin Bar,None,0.0
2024-05-10 13:00:00,13,London Session (08:00-15:00),Đỉnh,2374.66,84.8,89.69,89.62,,,6.09271,False,False,None,None,0.0
2024-05-13 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,2363.88,57.91,34.77,29.22,,,6.28178,False,False,None,None,0.0
2024-05-13 18:00:00,18,NY Session (15:00-24:00),Đáy,2335.84,31.83,29.2,34.61,,,6.51013,False,True,None,None,0.1
2024-05-14 03:00:00,3,Asian Session (00:00-08:00),Đáy,2336.3,35.84,37.96,33.28,,,4.93754,False,False,None,None,0.0
