Time_M15,Hour,Session,Type,Close_Price,M15_RSI,M1_RSI_Min,M1_RSI_Max,M1_RSI_Close,M15_ATR,M1_ATR_Max,M15_ATR_High_Volatility,M15_BB_Lower,M15_BB_Upper,M15_BB_Breakout_%,M1_Max_BB_Breakout_%
2026-03-12 12:00:00,12,London Session (08:00-15:00),Bearish Reversal (Daily Peak),5186.99,66.11,48.48,68.1,48.48,7.74231,2.05184,False,,,0.0,0.0
2026-03-12 22:30:00,22,NY Session (15:00-24:00),Bullish Reversal (Daily Valley),5072.19,22.16,15.67,48.46,48.46,12.11063,4.70938,False,,,0.0,0.0
2026-03-13 04:00:00,4,Asian Session (00:00-08:00),Bearish Reversal (Daily Peak),5123.03,61.67,53.75,73.41,53.75,9.38927,2.88037,False,,,0.0,0.0
2026-03-13 21:45:00,21,NY Session (15:00-24:00),Bullish Reversal (Daily Valley),5016.21,28.41,19.75,49.48,41.07,13.41633,3.84192,False,,,0.0,0.0
2026-03-16 01:15:00,1,Asian Session (00:00-08:00),Bullish Reversal (Daily Valley),4989.35,29.38,15.7,38.22,38.22,16.78358,5.99632,False,,,0.0,0.0
2026-03-16 16:00:00,16,NY Session (15:00-24:00),Bearish Reversal (Daily Peak),5027.93,60.32,45.5,62.9,45.5,12.37052,4.20075,False,,,0.0,0.0
2026-03-17 07:15:00,7,Asian Session (00:00-08:00),Bearish Reversal (Daily Peak),5035.12,60.99,39.02,69.37,42.49,7.99575,2.08304,False,,,0.0,0.0
2026-03-17 17:30:00,17,NY Session (15:00-24:00),Bullish Reversal (Daily Valley),4984.33,33.84,23.44,38.57,38.26,12.73363,4.61605,False,,,0.0,0.0
2026-03-18 08:30:00,8,London Session (08:00-15:00),Bearish Reversal (Daily Peak),5011.14,63.59,54.36,78.7,54.53,7.43051,1.83239,False,,,0.0,0.0
2026-03-18 22:30:00,22,NY Session (15:00-24:00),Bullish Reversal (Daily Valley),4820.94,27.12,22.68,51.44,51.44,16.07069,4.51919,False,,,0.0,0.0
2026-03-19 03:30:00,3,Asian Session (00:00-08:00),Bearish Reversal (Daily Peak),4865.47,61.08,55.54,78.2,76.04,14.40844,4.00014,False,,,0.0,0.0
2026-03-19 15:00:00,15,NY Session (15:00-24:00),Bullish Reversal (Daily Valley),4539.35,15.39,24.64,49.38,44.12,32.47851,16.23568,True,,,0.0,0.0
2026-03-20 05:15:00,5,Asian Session (00:00-08:00),Bearish Reversal (Daily Peak),4733.44,72.95,69.36,83.56,70.13,20.04736,4.50199,False,,,0.0,0.0
