Time,Hour,Session,Type,Close_Price,Base_RSI,STOCH_K,M1_RSI_Extreme,RR_Ratio,Risk,Max_Reward,Volume_Spike,Pattern,Divergence,Near_SR
2024-04-23 12:00:00,12,London Session (08:00-15:00),Đáy,2295.57,28.26,21.66,,3.91,9.32,36.48,False,None,None,None
2024-04-23 17:00:00,17,NY Session (15:00-24:00),Đỉnh,2320.35,48.72,85.24,,0.51,17.22,8.72,False,None,None,None
2024-04-24 12:00:00,12,London Session (08:00-15:00),Đáy,2314.89,42.37,23.57,,3.27,6.82,22.29,False,None,None,None
2024-04-24 18:00:00,18,NY Session (15:00-24:00),Đỉnh,2322.52,50.12,61.11,,0.94,18.76,17.63,True,None,None,None
2024-04-25 06:00:00,6,Asian Session (00:00-08:00),Đáy,2313.12,41.5,37.09,,2.7,11.73,31.61,False,None,None,None
2024-04-25 17:00:00,17,NY Session (15:00-24:00),Đỉnh,2333.8,59.56,58.77,,0.72,15.26,10.92,True,None,None,None
2024-04-26 04:00:00,4,Asian Session (00:00-08:00),Đáy,2332.04,56.23,55.72,,2.19,9.29,20.36,False,Pin Bar,None,None
2024-04-26 12:00:00,12,London Session (08:00-15:00),Đỉnh,2349.23,73.48,88.75,,4.72,6.28,29.63,False,None,None,None
2024-04-29 04:00:00,4,Asian Session (00:00-08:00),Đáy,2330.94,42.68,36.29,,1.07,14.71,15.68,True,Pin Bar,None,None
2024-04-29 19:00:00,19,NY Session (15:00-24:00),Đỉnh,2342.73,58.05,70.64,,6.88,7.45,51.3,False,None,None,None
2024-04-30 01:00:00,1,Asian Session (00:00-08:00),Đỉnh,2334.8,47.6,46.37,,10.9,4.57,49.85,False,Pin Bar,None,None
2024-04-30 23:00:00,23,NY Session (15:00-24:00),Đáy,2285.97,20.28,3.19,,9.47,4.46,42.21,False,None,None,None
2024-05-01 07:00:00,7,Asian Session (00:00-08:00),Đáy,2283.12,24.8,14.24,,9.94,4.53,45.06,False,Pin Bar,None,None
2024-05-01 21:00:00,21,NY Session (15:00-24:00),Đỉnh,2325.17,71.04,74.1,,5.56,7.16,39.79,True,Engulfing,None,None
2024-05-02 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,2323.98,63.81,87.18,,6.06,6.37,38.6,False,Pin Bar,None,None
2024-05-02 16:00:00,16,NY Session (15:00-24:00),Đáy,2291.28,33.75,12.02,,3.03,9.64,29.24,True,Pin Bar,None,None
2024-05-03 15:00:00,15,NY Session (15:00-24:00),Đỉnh,2304.64,52.37,22.37,,1.43,19.24,27.47,True,Pin Bar,None,None
2024-05-03 16:00:00,16,NY Session (15:00-24:00),Đáy,2289.99,37.45,28.1,,2.46,17.07,41.99,True,None,Bullish Divergence,None
2024-05-06 03:00:00,3,Asian Session (00:00-08:00),Đáy,2295.84,45.06,54.7,,4.44,8.14,36.14,False,Pin Bar,None,None
2024-05-06 16:00:00,16,NY Session (15:00-24:00),Đỉnh,2327.77,68.14,70.99,,2.21,8.12,17.92,True,None,None,None
2024-05-07 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,2322.68,54.65,68.74,,1.52,10.43,15.84,False,None,None,None
2024-05-07 15:00:00,15,NY Session (15:00-24:00),Đáy,2315.95,46.71,24.35,,0.86,8.9,7.64,True,None,None,None
2024-05-08 08:00:00,8,London Session (08:00-15:00),Đỉnh,2317.6,52.45,87.96,,2.3,6.13,14.08,False,None,None,None
2024-05-08 11:00:00,11,London Session (08:00-15:00),Đáy,2307.21,39.84,25.26,,2.16,6.34,13.73,False,Pin Bar,Bullish Divergence,None
2024-05-09 12:00:00,12,London Session (08:00-15:00),Đáy,2307.52,42.4,15.19,,21.33,3.31,70.7,False,None,None,None
2024-05-09 23:00:00,23,NY Session (15:00-24:00),Đỉnh,2345.85,74.69,97.29,,0.18,4.52,0.81,False,None,None,None
2024-05-10 01:00:00,1,Asian Session (00:00-08:00),Đáy,2346.23,74.9,97.32,,7.45,4.29,31.99,False,Pin Bar,None,None
2024-05-10 13:00:00,13,London Session (08:00-15:00),Đỉnh,2374.66,84.8,89.69,,5.5,6.61,36.33,False,None,None,None
2024-05-13 03:00:00,3,Asian Session (00:00-08:00),Đỉnh,2363.88,57.91,34.77,,8.74,3.65,31.92,False,None,None,None
