Time,Hour,Session,Type,Close_Price,Base_RSI,STOCH_K,M1_RSI_Extreme,RR_Ratio,Risk,Max_Reward,Volume_Spike,Pattern,Divergence,Near_SR
2026-03-12 22:30:00,22,NY Session (15:00-24:00),Đáy,5072.19,22.16,17.99,15.673180768406876,2.41,23.32,56.19,False,Pin Bar,Bullish Divergence,None
2026-03-13 04:00:00,4,Asian Session (00:00-08:00),Đỉnh,5123.03,61.67,83.94,73.41093245341125,5.62,10.04,56.45,False,Pin Bar,Bearish Divergence,None
2026-03-13 21:45:00,21,NY Session (15:00-24:00),Đáy,5016.21,28.41,9.7,19.7489950889762,0.65,13.43,8.69,False,None,None,None
2026-03-16 01:15:00,1,Asian Session (00:00-08:00),Đáy,4989.35,29.38,51.5,15.69793680049258,1.35,30.6,41.44,True,None,None,None
2026-03-16 16:00:00,16,NY Session (15:00-24:00),Đỉnh,5027.93,60.32,86.46,62.89902641794967,3.36,16.08,54.04,False,Pin Bar,Bearish Divergence,None
2026-03-17 07:15:00,7,Asian Session (00:00-08:00),Đỉnh,5035.12,60.99,77.42,69.36650689440289,3.3,13.14,43.41,False,Engulfing,Bearish Divergence,None
2026-03-17 17:30:00,17,NY Session (15:00-24:00),Đáy,4984.33,33.84,13.55,23.44181295893622,1.42,17.31,24.57,True,None,Bullish Divergence,None
2026-03-18 08:30:00,8,London Session (08:00-15:00),Đỉnh,5011.14,63.59,92.78,78.70468651611145,15.9,8.64,137.28,False,None,None,None
2026-03-18 22:30:00,22,NY Session (15:00-24:00),Đáy,4820.94,27.12,7.75,22.684177128396342,2.06,22.35,45.96,False,None,Bullish Divergence,None
2026-03-19 03:30:00,3,Asian Session (00:00-08:00),Đỉnh,4865.47,61.08,67.94,78.19574568172108,15.05,8.63,129.96,True,None,None,None
2026-03-19 15:00:00,15,NY Session (15:00-24:00),Đáy,4539.35,15.39,15.54,24.640435332800692,2.33,53.13,123.89,False,None,None,None
